OBS.,ANSWERED,INCOME,FEMALE,AGE,JOB,NUM_DEPENDENTS,RENT,OWN_RES,NEW_CAR,CHK_ACCT,SAV_ACCT,NUM_ACCTS,MOBILE,PRODUCT
137167,1,20690,0,26,2,1,0,1,0,3,4,2,0,1
137487,1,10280,0,36,2,1,0,1,1,3,0,2,0,3
138555,1,106230,0,38,3,2,0,0,0,0,0,4,1,4
138599,0,109740,0,26,3,1,0,1,0,3,0,0,0,0
138920,1,84710,0,23,2,1,1,0,0,0,4,2,0,2
138979,0,46230,0,40,3,1,0,1,0,3,1,2,0,0
139305,0,65600,0,24,2,1,0,1,1,1,1,3,0,0
139454,1,7080,0,38,1,2,0,1,0,0,0,2,0,3
140007,1,7010,0,40,1,1,0,1,0,0,0,2,0,2
140680,1,5180,0,29,2,1,0,1,0,3,0,2,0,1
140957,0,34460,0,42,2,2,0,1,0,0,0,4,0,0
141168,1,15260,0,66,3,1,0,0,0,0,0,4,1,4
141240,1,12130,0,47,2,1,0,1,0,3,2,4,0,3
141329,1,15770,0,20,2,1,0,1,0,1,3,1,0,1
141990,0,11990,0,60,1,1,0,1,1,0,0,4,0,0
142495,1,26840,0,35,1,1,0,1,0,3,0,2,0,2
142853,1,15970,0,40,1,2,1,0,1,3,2,2,0,2
142945,0,8360,0,23,1,1,0,1,1,1,1,1,0,0
143140,1,18040,0,44,2,1,0,1,0,1,1,1,1,4
143664,0,13440,0,37,1,2,0,1,1,2,4,3,0,0
143896,0,25380,0,47,1,2,0,1,1,3,0,4,0,0
143967,0,38440,0,34,1,2,0,0,0,1,1,3,0,0
144981,1,33980,0,39,1,1,0,1,1,0,0,3,0,4
145050,0,14420,0,23,2,1,1,0,1,0,0,3,0,0
145056,0,48440,0,33,3,1,1,0,0,3,0,0,0,0
145296,0,15530,0,44,2,1,0,1,0,0,0,2,0,0
146168,1,23200,0,34,2,1,0,1,0,3,0,0,0,3
146478,0,22780,0,28,2,1,0,1,1,1,1,1,0,0
146588,1,16800,0,35,2,1,0,1,0,0,2,4,0,1
146589,1,15420,0,36,2,1,0,1,0,3,0,3,0,4
